ICD10,PHECODE,Exl. Phecodes,Excl. Phenotypes
J21.8,483,480-488.99,Pneumonia and influenza
J21.9,483,480-488.99,Pneumonia and influenza
J22,519.8,519-519.99,tracheostomy complications
J30,476,470-479.99,other/chronic upper respiratory disease
J30.0,476,470-479.99,other/chronic upper respiratory disease
J30.1,476,470-479.99,other/chronic upper respiratory disease
J30.2,476,470-479.99,other/chronic upper respiratory disease
J30.3,476,470-479.99,other/chronic upper respiratory disease
J30.4,476,470-479.99,other/chronic upper respiratory disease
J31,472,470-479.99,other/chronic upper respiratory disease
J31.0,472,470-479.99,other/chronic upper respiratory disease
J31.1,472,470-479.99,other/chronic upper respiratory disease
J31.2,472,470-479.99,other/chronic upper respiratory disease
J32,475,470-479.99,other/chronic upper respiratory disease
J32.0,475,470-479.99,other/chronic upper respiratory disease
J32.1,475,470-479.99,other/chronic upper respiratory disease
J32.2,475,470-479.99,other/chronic upper respiratory disease
J32.3,475,470-479.99,other/chronic upper respiratory disease
J32.4,475,470-479.99,other/chronic upper respiratory disease
J32.8,475,470-479.99,other/chronic upper respiratory disease
J32.9,475,470-479.99,other/chronic upper respiratory disease
J33,471,470-479.99,other/chronic upper respiratory disease
J33.0,471,470-479.99,other/chronic upper respiratory disease
J33.1,471,470-479.99,other/chronic upper respiratory disease
J33.8,471,470-479.99,other/chronic upper respiratory disease
J33.9,471,470-479.99,other/chronic upper respiratory disease
J34.0,479,470-479.99,other/chronic upper respiratory disease
J34.1,479,470-479.99,other/chronic upper respiratory disease
J34.2,470,470-479.99,other/chronic upper respiratory disease
J34.3,470,470-479.99,other/chronic upper respiratory disease
J34.8,479,470-479.99,other/chronic upper respiratory disease
J35,474.2,470-479.99,other/chronic upper respiratory disease
J35.0,474.2,470-479.99,other/chronic upper respiratory disease
J35.1,474.2,470-479.99,other/chronic upper respiratory disease
J35.2,474.2,470-479.99,other/chronic upper respiratory disease
J35.3,474.2,470-479.99,other/chronic upper respiratory disease
J35.8,474.2,470-479.99,other/chronic upper respiratory disease
J35.9,474.2,470-479.99,other/chronic upper respiratory disease
J36,474,470-479.99,other/chronic upper respiratory disease
J37,473.1,470-479.99,other/chronic upper respiratory disease
J37.0,473.1,470-479.99,other/chronic upper respiratory disease
J37.1,473.1,470-479.99,other/chronic upper respiratory disease
J38.0,473.3,470-479.99,other/chronic upper respiratory disease
J38.1,473,470-479.99,other/chronic upper respiratory disease
J38.2,473,470-479.99,other/chronic upper respiratory disease
J38.3,473,470-479.99,other/chronic upper respiratory disease
J38.4,473,470-479.99,other/chronic upper respiratory disease
J38.5,473.3,470-479.99,other/chronic upper respiratory disease
J38.6,473,470-479.99,other/chronic upper respiratory disease
J38.7,473,470-479.99,other/chronic upper respiratory disease
J39,479,470-479.99,other/chronic upper respiratory disease
J39.0,479,470-479.99,other/chronic upper respiratory disease
J39.1,479,470-479.99,other/chronic upper respiratory disease
J39.2,479,470-479.99,other/chronic upper respiratory disease
J39.3,479,470-479.99,other/chronic upper respiratory disease
J39.8,479,470-479.99,other/chronic upper respiratory disease
J39.9,479,470-479.99,other/chronic upper respiratory disease
J40,497,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J41,496.2,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J41.0,496.2,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J41.1,496.2,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J41.8,496.2,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J42,496.2,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J43,496.1,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J43.0,496.1,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J43.1,496.1,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J43.2,496.1,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J43.8,496.1,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J43.9,496.1,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J44,496.21,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J44.0,496.21,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J44.1,496.21,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J44.8,496,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J44.9,496,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J45,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J45.0,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J45.1,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J45.8,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J45.9,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J46,495.2,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J47,496.3,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J60,500.2,500-509.99,Pneumoconioses and other lung diseases
J61,500.2,500-509.99,Pneumoconioses and other lung diseases
J62,500.2,500-509.99,Pneumoconioses and other lung diseases
J62.0,500.2,500-509.99,Pneumoconioses and other lung diseases
J62.8,500.2,500-509.99,Pneumoconioses and other lung diseases
J63,500.2,500-509.99,Pneumoconioses and other lung diseases
J63.0,500.2,500-509.99,Pneumoconioses and other lung diseases
J63.1,500.2,500-509.99,Pneumoconioses and other lung diseases
J63.2,500.2,500-509.99,Pneumoconioses and other lung diseases
J63.3,500.2,500-509.99,Pneumoconioses and other lung diseases
J63.4,500.2,500-509.99,Pneumoconioses and other lung diseases
J63.5,500.2,500-509.99,Pneumoconioses and other lung diseases
J63.8,500.2,500-509.99,Pneumoconioses and other lung diseases
J64,500.2,500-509.99,Pneumoconioses and other lung diseases
J65,500.2,500-509.99,Pneumoconioses and other lung diseases
J66,500.1,500-509.99,Pneumoconioses and other lung diseases
J66.0,500.1,500-509.99,Pneumoconioses and other lung diseases
J66.1,500.1,500-509.99,Pneumoconioses and other lung diseases
J66.2,500.1,500-509.99,Pneumoconioses and other lung diseases
J66.8,500.1,500-509.99,Pneumoconioses and other lung diseases
J67,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.0,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.1,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.2,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.3,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.4,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.5,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.6,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.7,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.8,500.1,500-509.99,Pneumoconioses and other lung diseases
J67.9,500.1,500-509.99,Pneumoconioses and other lung diseases
J68,500,500-509.99,Pneumoconioses and other lung diseases
J68.0,500,500-509.99,Pneumoconioses and other lung diseases
J68.1,500,500-509.99,Pneumoconioses and other lung diseases
J68.2,500,500-509.99,Pneumoconioses and other lung diseases
J68.3,500,500-509.99,Pneumoconioses and other lung diseases
J68.4,500,500-509.99,Pneumoconioses and other lung diseases
J68.8,500,500-509.99,Pneumoconioses and other lung diseases
J68.9,500,500-509.99,Pneumoconioses and other lung diseases
J69.0,501,500-509.99,Pneumoconioses and other lung diseases
J69.1,500,500-509.99,Pneumoconioses and other lung diseases
J69.8,500,500-509.99,Pneumoconioses and other lung diseases
J70,500,500-509.99,Pneumoconioses and other lung diseases
J70.0,500,500-509.99,Pneumoconioses and other lung diseases
J70.1,500,500-509.99,Pneumoconioses and other lung diseases
J70.2,500,500-509.99,Pneumoconioses and other lung diseases
J70.3,500,500-509.99,Pneumoconioses and other lung diseases
J70.4,500,500-509.99,Pneumoconioses and other lung diseases
J70.8,500,500-509.99,Pneumoconioses and other lung diseases
J70.9,500,500-509.99,Pneumoconioses and other lung diseases
J80,509.2,500-509.99,Pneumoconioses and other lung diseases
J81,503,500-509.99,Pneumoconioses and other lung diseases
J82,505,500-509.99,Pneumoconioses and other lung diseases
J84.0,504,500-509.99,Pneumoconioses and other lung diseases
J84.1,502,500-509.99,Pneumoconioses and other lung diseases
J84.8,502,500-509.99,Pneumoconioses and other lung diseases
J84.8,504,500-509.99,Pneumoconioses and other lung diseases
J84.9,504,500-509.99,Pneumoconioses and other lung diseases
J85,480.5,480-488.99,Pneumonia and influenza
J85.0,480.5,480-488.99,Pneumonia and influenza
J85.1,480.5,480-488.99,Pneumonia and influenza
J85.2,480.5,480-488.99,Pneumonia and influenza
J85.3,480.5,480-488.99,Pneumonia and influenza
J86,506,500-509.99,Pneumoconioses and other lung diseases
J86.0,506,500-509.99,Pneumoconioses and other lung diseases
J86.9,506,500-509.99,Pneumoconioses and other lung diseases
J90,507,500-509.99,Pneumoconioses and other lung diseases
J91,507,500-509.99,Pneumoconioses and other lung diseases
J92,507,500-509.99,Pneumoconioses and other lung diseases
J92.0,507,500-509.99,Pneumoconioses and other lung diseases
J92.9,507,500-509.99,Pneumoconioses and other lung diseases
J93,506,500-509.99,Pneumoconioses and other lung diseases
J93.0,506,500-509.99,Pneumoconioses and other lung diseases
J93.1,506,500-509.99,Pneumoconioses and other lung diseases
J93.8,506,500-509.99,Pneumoconioses and other lung diseases
J93.9,506,500-509.99,Pneumoconioses and other lung diseases
J94,507,500-509.99,Pneumoconioses and other lung diseases
J94.0,507,500-509.99,Pneumoconioses and other lung diseases
J94.1,507,500-509.99,Pneumoconioses and other lung diseases
J94.2,507,500-509.99,Pneumoconioses and other lung diseases
J94.8,507,500-509.99,Pneumoconioses and other lung diseases
J94.9,507,500-509.99,Pneumoconioses and other lung diseases
J95.1,509.3,500-509.99,Pneumoconioses and other lung diseases
J95.2,509.3,500-509.99,Pneumoconioses and other lung diseases
J95.3,509.3,500-509.99,Pneumoconioses and other lung diseases
J95.4,519.2,519-519.99,tracheostomy complications
J95.5,519.2,519-519.99,tracheostomy complications
J95.8,519.2,519-519.99,tracheostomy complications
J95.9,519.2,519-519.99,tracheostomy complications
J96.0,509.1,500-509.99,Pneumoconioses and other lung diseases
J96.1,509.1,500-509.99,Pneumoconioses and other lung diseases
J96.9,509.1,500-509.99,Pneumoconioses and other lung diseases
J96.9,509.2,500-509.99,Pneumoconioses and other lung diseases
J98,512,512-512.99,Other symptoms of respiratory system
J98.0,479,470-479.99,other/chronic upper respiratory disease
J98.1,508,500-509.99,Pneumoconioses and other lung diseases
J98.2,508,500-509.99,Pneumoconioses and other lung diseases
J98.3,508,500-509.99,Pneumoconioses and other lung diseases
J98.4,510,510-510.99,Other diseases of the lung
J98.5,479,470-479.99,other/chronic upper respiratory disease
J98.6,513.8,513-513.99,Respiratory abnormalities
J98.8,519.8,519-519.99,tracheostomy complications
J98.9,519,519-519.99,tracheostomy complications
J99,510,510-510.99,Other diseases of the lung
J99.0,714.1,"714-716.00, 696-696.99",Autoimmune arthritis and psoriasis
K00,520,520-526.99,Disorders of teeth and jaw
K00.0,520.1,520-526.99,Disorders of teeth and jaw
K00.1,520.1,520-526.99,Disorders of teeth and jaw
K00.2,520.1,520-526.99,Disorders of teeth and jaw
K00.3,520,520-526.99,Disorders of teeth and jaw
K00.4,520.1,520-526.99,Disorders of teeth and jaw
K00.5,520.1,520-526.99,Disorders of teeth and jaw
K00.6,520.2,520-526.99,Disorders of teeth and jaw
K00.7,520,520-526.99,Disorders of teeth and jaw
K00.8,520,520-526.99,Disorders of teeth and jaw
K00.9,520,520-526.99,Disorders of teeth and jaw
K01,520.2,520-526.99,Disorders of teeth and jaw
K01.0,520.2,520-526.99,Disorders of teeth and jaw
K01.1,520.2,520-526.99,Disorders of teeth and jaw
K02,521.1,520-526.99,Disorders of teeth and jaw
K02.0,521.1,520-526.99,Disorders of teeth and jaw
K02.1,521.1,520-526.99,Disorders of teeth and jaw
K02.2,521.1,520-526.99,Disorders of teeth and jaw
K02.3,521.1,520-526.99,Disorders of teeth and jaw
K02.4,521.1,520-526.99,Disorders of teeth and jaw
K02.8,521.1,520-526.99,Disorders of teeth and jaw
K02.9,521.1,520-526.99,Disorders of teeth and jaw
K03.0,521.2,520-526.99,Disorders of teeth and jaw
K03.1,521.2,520-526.99,Disorders of teeth and jaw
K03.2,521.2,520-526.99,Disorders of teeth and jaw
K03.3,521.4,520-526.99,Disorders of teeth and jaw
K03.4,521.4,520-526.99,Disorders of teeth and jaw
K03.5,521.4,520-526.99,Disorders of teeth and jaw
K03.6,523,520-526.99,Disorders of teeth and jaw
K03.7,521,520-526.99,Disorders of teeth and jaw
K03.8,521,520-526.99,Disorders of teeth and jaw
K03.9,521,520-526.99,Disorders of teeth and jaw
K04,522,520-526.99,Disorders of teeth and jaw
K04.0,522.1,520-526.99,Disorders of teeth and jaw
K04.1,522.1,520-526.99,Disorders of teeth and jaw
K04.2,522.1,520-526.99,Disorders of teeth and jaw
K04.3,522,520-526.99,Disorders of teeth and jaw
K04.4,523.31,520-526.99,Disorders of teeth and jaw
K04.5,523.32,520-526.99,Disorders of teeth and jaw
K04.6,522.5,520-526.99,Disorders of teeth and jaw
K04.7,522.5,520-526.99,Disorders of teeth and jaw
K04.8,522,520-526.99,Disorders of teeth and jaw
K04.9,522,520-526.99,Disorders of teeth and jaw
K05.0,523.1,520-526.99,Disorders of teeth and jaw
K05.1,523.1,520-526.99,Disorders of teeth and jaw
K05.2,523.31,520-526.99,Disorders of teeth and jaw
K05.3,523.32,520-526.99,Disorders of teeth and jaw
K05.4,523.3,520-526.99,Disorders of teeth and jaw
K05.5,523,520-526.99,Disorders of teeth and jaw
K05.6,523,520-526.99,Disorders of teeth and jaw
K06.0,523.1,520-526.99,Disorders of teeth and jaw
K06.1,523,520-526.99,Disorders of teeth and jaw
K06.2,523,520-526.99,Disorders of teeth and jaw
K06.8,523,520-526.99,Disorders of teeth and jaw
K06.9,523,520-526.99,Disorders of teeth and jaw
K07.0,526.3,520-526.99,Disorders of teeth and jaw
K07.1,526.3,520-526.99,Disorders of teeth and jaw
K07.2,524.3,520-526.99,Disorders of teeth and jaw
K07.3,524.3,520-526.99,Disorders of teeth and jaw
K07.4,524.3,520-526.99,Disorders of teeth and jaw
K07.5,524,520-526.99,Disorders of teeth and jaw
K07.6,526.41,520-526.99,Disorders of teeth and jaw
K07.8,524,520-526.99,Disorders of teeth and jaw
K07.9,524,520-526.99,Disorders of teeth and jaw
K08.0,525,520-526.99,Disorders of teeth and jaw
K08.1,525,520-526.99,Disorders of teeth and jaw
K08.2,525.2,520-526.99,Disorders of teeth and jaw
K08.3,525,520-526.99,Disorders of teeth and jaw
K08.8,525,520-526.99,Disorders of teeth and jaw
K08.9,525,520-526.99,Disorders of teeth and jaw
K09.0,526.1,520-526.99,Disorders of teeth and jaw
K09.1,526.1,520-526.99,Disorders of teeth and jaw
K09.2,526.1,520-526.99,Disorders of teeth and jaw
K09.8,706.2,705-706.99,disorders of sweat and sebaceous glands
K09.9,528.4,527-529.99,Diseases of mouth; excluding dental
K10.0,526.9,520-526.99,Disorders of teeth and jaw
K10.1,526,520-526.99,Disorders of teeth and jaw
K10.2,526.5,520-526.99,Disorders of teeth and jaw
K10.3,526.5,520-526.99,Disorders of teeth and jaw
K10.8,526.9,520-526.99,Disorders of teeth and jaw
K10.9,526.9,520-526.99,Disorders of teeth and jaw
K11,527,527-529.99,Diseases of mouth; excluding dental
K11.0,527,527-529.99,Diseases of mouth; excluding dental
K11.1,527.1,527-529.99,Diseases of mouth; excluding dental
K11.2,527.2,527-529.99,Diseases of mouth; excluding dental
K11.3,528.3,527-529.99,Diseases of mouth; excluding dental
K11.4,527,527-529.99,Diseases of mouth; excluding dental
K11.5,528.7,527-529.99,Diseases of mouth; excluding dental
K11.6,528.41,527-529.99,Diseases of mouth; excluding dental
K11.7,527.7,527-529.99,Diseases of mouth; excluding dental
K11.8,527.8,527-529.99,Diseases of mouth; excluding dental
K11.9,527,527-529.99,Diseases of mouth; excluding dental
K12.0,528.12,527-529.99,Diseases of mouth; excluding dental
K12.1,528.11,527-529.99,Diseases of mouth; excluding dental
K12.2,681.2,680-686.99,Skin and subcutaneous tissue infections
K12.2,528.3,527-529.99,Diseases of mouth; excluding dental
K13.0,528.5,527-529.99,Diseases of mouth; excluding dental
K13.1,528,527-529.99,Diseases of mouth; excluding dental
K13.2,528.6,527-529.99,Diseases of mouth; excluding dental
K13.3,528.6,527-529.99,Diseases of mouth; excluding dental
K13.4,528,527-529.99,Diseases of mouth; excluding dental
K13.5,528,527-529.99,Diseases of mouth; excluding dental
K13.6,528,527-529.99,Diseases of mouth; excluding dental
K13.7,528,527-529.99,Diseases of mouth; excluding dental
K14,529,527-529.99,Diseases of mouth; excluding dental
K14.0,529.1,527-529.99,Diseases of mouth; excluding dental
K14.1,529.1,527-529.99,Diseases of mouth; excluding dental
K14.2,529.1,527-529.99,Diseases of mouth; excluding dental
K14.3,529,527-529.99,Diseases of mouth; excluding dental
K14.4,529,527-529.99,Diseases of mouth; excluding dental
K14.5,529,527-529.99,Diseases of mouth; excluding dental
K14.6,529.6,527-529.99,Diseases of mouth; excluding dental
K14.8,529,527-529.99,Diseases of mouth; excluding dental
K14.9,529,527-529.99,Diseases of mouth; excluding dental
K20,530.1,"530-530.99, 532-532.99",esophageal disorders
K21,530.11,"530-530.99, 532-532.99",esophageal disorders
K21.0,530.14,"530-530.99, 532-532.99",esophageal disorders
K21.9,530.11,"530-530.99, 532-532.99",esophageal disorders
K22.0,530.5,"530-530.99, 532-532.99",esophageal disorders
K22.1,530.12,"530-530.99, 532-532.99",esophageal disorders
K22.2,530.3,"530-530.99, 532-532.99",esophageal disorders
K22.3,530,"530-530.99, 532-532.99",esophageal disorders
K22.4,530.5,"530-530.99, 532-532.99",esophageal disorders
K22.5,530.6,"530-530.99, 532-532.99",esophageal disorders
K22.6,530.7,"530-530.99, 532-532.99",esophageal disorders
K22.8,530.2,"530-530.99, 532-532.99",esophageal disorders
K22.9,530,"530-530.99, 532-532.99",esophageal disorders
K23,530,"530-530.99, 532-532.99",esophageal disorders
K23.0,530,"530-530.99, 532-532.99",esophageal disorders
K23.1,133,130-136.99,Other infections; including parasitic
K23.8,530,"530-530.99, 532-532.99",esophageal disorders
K23.8,1011,,
K25,531.2,531-531.99,gastro ulcer
K25.0,531.1,531-531.99,gastro ulcer
K25.1,531.2,531-531.99,gastro ulcer
K25.2,531.1,531-531.99,gastro ulcer
K25.3,531.2,531-531.99,gastro ulcer
K25.4,531.1,531-531.99,gastro ulcer
K25.5,531.2,531-531.99,gastro ulcer
K25.6,531.1,531-531.99,gastro ulcer
K25.7,531.2,531-531.99,gastro ulcer
K25.9,531.2,531-531.99,gastro ulcer
K26,531.3,531-531.99,gastro ulcer
K26,531,531-531.99,gastro ulcer
K26.0,531.1,531-531.99,gastro ulcer
K26.1,531.3,531-531.99,gastro ulcer
K26.2,531.1,531-531.99,gastro ulcer
K26.3,531.3,531-531.99,gastro ulcer
K26.4,531.1,531-531.99,gastro ulcer
K26.5,531.3,531-531.99,gastro ulcer
K26.6,531.1,531-531.99,gastro ulcer
K26.7,531.3,531-531.99,gastro ulcer
K26.9,531.3,531-531.99,gastro ulcer
K27,531,531-531.99,gastro ulcer
K27.0,531.1,531-531.99,gastro ulcer
K27.1,531.4,531-531.99,gastro ulcer
K27.2,531.1,531-531.99,gastro ulcer
K27.3,531.4,531-531.99,gastro ulcer
K27.4,531.1,531-531.99,gastro ulcer
K27.5,531.4,531-531.99,gastro ulcer
K27.6,531.4,531-531.99,gastro ulcer
K27.7,531.4,531-531.99,gastro ulcer
K27.9,531.4,531-531.99,gastro ulcer
K28,531,531-531.99,gastro ulcer
K28.0,531.1,531-531.99,gastro ulcer
K28.1,531.5,531-531.99,gastro ulcer
K28.2,531.1,531-531.99,gastro ulcer
K28.3,531.5,531-531.99,gastro ulcer
K28.4,531.1,531-531.99,gastro ulcer
K28.5,531.5,531-531.99,gastro ulcer
K28.6,531.1,531-531.99,gastro ulcer
K28.7,531.5,531-531.99,gastro ulcer
K28.9,531.5,531-531.99,gastro ulcer
K29,535,535-537.99,disorders of stomach
K29.0,535.1,535-537.99,disorders of stomach
K29.1,535.1,535-537.99,disorders of stomach
K29.2,317.1,316-319.99,Substance-related disorders
K29.3,535.8,535-537.99,disorders of stomach
K29.4,535.2,535-537.99,disorders of stomach
K29.5,535.8,535-537.99,disorders of stomach
K29.6,535.8,535-537.99,disorders of stomach
K29.7,535,535-537.99,disorders of stomach
K29.8,535.6,535-537.99,disorders of stomach
K29.9,535,535-537.99,disorders of stomach
K30,785,785-785.99,Abdominal pain
K31,537,535-537.99,disorders of stomach
K31.0,536,535-537.99,disorders of stomach
K31.1,537,535-537.99,disorders of stomach
K31.2,537,535-537.99,disorders of stomach
K31.3,537,535-537.99,disorders of stomach
K31.4,537,535-537.99,disorders of stomach
K31.5,537,535-537.99,disorders of stomach
K31.6,537,535-537.99,disorders of stomach
K31.7,211,"211-211.99, 150-159.99",Cancer/benign neoplams of digestive system
K31.8,537,535-537.99,disorders of stomach
K31.9,537,535-537.99,disorders of stomach
K35,540.11,540-540.99,appendicitis and other appendiceal conditions
K35.0,540.11,540-540.99,appendicitis and other appendiceal conditions
K35.1,540.11,540-540.99,appendicitis and other appendiceal conditions
K35.9,540.11,540-540.99,appendicitis and other appendiceal conditions
K36,540.1,540-540.99,appendicitis and other appendiceal conditions
K37,540.1,540-540.99,appendicitis and other appendiceal conditions
K38,540,540-540.99,appendicitis and other appendiceal conditions
K38.0,540,540-540.99,appendicitis and other appendiceal conditions
K38.1,540,540-540.99,appendicitis and other appendiceal conditions
K38.2,540,540-540.99,appendicitis and other appendiceal conditions
K38.3,540,540-540.99,appendicitis and other appendiceal conditions
K38.8,540,540-540.99,appendicitis and other appendiceal conditions
K38.9,540,540-540.99,appendicitis and other appendiceal conditions
K40,550.1,550-550.99,Abdominal hernia
K40.0,550.1,550-550.99,Abdominal hernia
K40.1,550.1,550-550.99,Abdominal hernia
K40.2,550.1,550-550.99,Abdominal hernia
K40.3,550.1,550-550.99,Abdominal hernia
K40.4,550.1,550-550.99,Abdominal hernia
K40.9,550.1,550-550.99,Abdominal hernia
K41,550.3,550-550.99,Abdominal hernia
K41.0,550.3,550-550.99,Abdominal hernia
K41.1,550.3,550-550.99,Abdominal hernia
K41.2,550.3,550-550.99,Abdominal hernia
K41.3,550.3,550-550.99,Abdominal hernia
K41.4,550.3,550-550.99,Abdominal hernia
K41.9,550.3,550-550.99,Abdominal hernia
K42,550.4,550-550.99,Abdominal hernia
K42.0,550.4,550-550.99,Abdominal hernia
K42.1,550.4,550-550.99,Abdominal hernia
K42.9,550.4,550-550.99,Abdominal hernia
K43,550.5,550-550.99,Abdominal hernia
K43.0,550,550-550.99,Abdominal hernia
K43.1,550.5,550-550.99,Abdominal hernia
K43.9,550.5,550-550.99,Abdominal hernia
K43.9,550,550-550.99,Abdominal hernia
K44,550.2,550-550.99,Abdominal hernia
K44.0,550.2,550-550.99,Abdominal hernia
K44.1,550.2,550-550.99,Abdominal hernia
K44.9,550.2,550-550.99,Abdominal hernia
K45,550,550-550.99,Abdominal hernia
K45.0,550,550-550.99,Abdominal hernia
K45.1,550,550-550.99,Abdominal hernia
K45.8,550,550-550.99,Abdominal hernia
K46,550,550-550.99,Abdominal hernia
K46.0,550,550-550.99,Abdominal hernia
K46.1,550,550-550.99,Abdominal hernia
K46.9,550,550-550.99,Abdominal hernia
K46.9,550.5,550-550.99,Abdominal hernia
K50,555.1,555-564.99,noninfective gastrointestinal disorders
K50.0,555.1,555-564.99,noninfective gastrointestinal disorders
K50.1,555.1,555-564.99,noninfective gastrointestinal disorders
K50.8,555.1,555-564.99,noninfective gastrointestinal disorders
K50.9,555.1,555-564.99,noninfective gastrointestinal disorders
K51,555.2,555-564.99,noninfective gastrointestinal disorders
K51.0,555.21,555-564.99,noninfective gastrointestinal disorders
K51.1,555.21,555-564.99,noninfective gastrointestinal disorders
K51.2,555.21,555-564.99,noninfective gastrointestinal disorders
K51.3,555.2,555-564.99,noninfective gastrointestinal disorders
K51.4,555.2,555-564.99,noninfective gastrointestinal disorders
K51.5,555.2,555-564.99,noninfective gastrointestinal disorders
K51.8,555.2,555-564.99,noninfective gastrointestinal disorders
K51.9,555.2,555-564.99,noninfective gastrointestinal disorders
K52.0,990,990-995.99,Other and unspecified effects of external causes
K52.1,569.1,565-569.99,Other gastrointestinal
K52.2,561.1,555-564.99,noninfective gastrointestinal disorders
K52.8,561.1,555-564.99,noninfective gastrointestinal disorders
K52.9,558,555-564.99,noninfective gastrointestinal disorders
K55,441,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K55.0,441.1,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K55.1,441.2,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K55.2,569,565-569.99,Other gastrointestinal
K55.8,441,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K55.9,441,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K56.0,560.1,555-564.99,noninfective gastrointestinal disorders
K56.1,560.4,555-564.99,noninfective gastrointestinal disorders
K56.2,560.4,555-564.99,noninfective gastrointestinal disorders
K56.3,560.4,555-564.99,noninfective gastrointestinal disorders
K56.4,560.2,555-564.99,noninfective gastrointestinal disorders
K56.5,560.4,555-564.99,noninfective gastrointestinal disorders
K56.5,560.3,555-564.99,noninfective gastrointestinal disorders
K56.6,560.4,555-564.99,noninfective gastrointestinal disorders
K56.7,560.1,555-564.99,noninfective gastrointestinal disorders
K57,562.1,555-564.99,noninfective gastrointestinal disorders
K57.0,562.1,555-564.99,noninfective gastrointestinal disorders
K57.1,562.1,555-564.99,noninfective gastrointestinal disorders
K57.2,562.1,555-564.99,noninfective gastrointestinal disorders
K57.3,562.1,555-564.99,noninfective gastrointestinal disorders
K57.4,562.1,555-564.99,noninfective gastrointestinal disorders
K57.5,562.1,555-564.99,noninfective gastrointestinal disorders
K57.8,562.1,555-564.99,noninfective gastrointestinal disorders
K57.9,562.1,555-564.99,noninfective gastrointestinal disorders
K58,564.1,555-564.99,noninfective gastrointestinal disorders
K58.0,564.1,555-564.99,noninfective gastrointestinal disorders
K58.9,564.1,555-564.99,noninfective gastrointestinal disorders
K59,564,555-564.99,noninfective gastrointestinal disorders
K59.0,563,555-564.99,noninfective gastrointestinal disorders
K59.1,564,555-564.99,noninfective gastrointestinal disorders
K59.2,564,555-564.99,noninfective gastrointestinal disorders
K59.3,564,555-564.99,noninfective gastrointestinal disorders
K59.4,565,565-569.99,Other gastrointestinal
K59.8,564,555-564.99,noninfective gastrointestinal disorders
K59.9,564,555-564.99,noninfective gastrointestinal disorders
K60,565,565-569.99,Other gastrointestinal
K60.0,565,565-569.99,Other gastrointestinal
K60.1,565,565-569.99,Other gastrointestinal
K60.2,565,565-569.99,Other gastrointestinal
K60.3,565,565-569.99,Other gastrointestinal
K60.4,565,565-569.99,Other gastrointestinal
K60.5,565,565-569.99,Other gastrointestinal
K61,565,565-569.99,Other gastrointestinal
K61.0,565,565-569.99,Other gastrointestinal
K61.1,565,565-569.99,Other gastrointestinal
K61.2,565,565-569.99,Other gastrointestinal
K61.3,565,565-569.99,Other gastrointestinal
K61.4,565,565-569.99,Other gastrointestinal
K62.0,565.1,565-569.99,Other gastrointestinal
K62.1,565.1,565-569.99,Other gastrointestinal
K62.2,565,565-569.99,Other gastrointestinal
K62.3,565,565-569.99,Other gastrointestinal
